N049.00.22.8679992 E002.35.12.1700004 E5
N049.00.08.8650 E002.35.14.2469988 E5
N049.00.22.9770 E002.35.18.4830 E6
N049.00.09.0830016 E002.35.19.9780008 E6
N049.00.25.1020008 E002.35.33.8499996 E7
N049.00.12.0250008 E002.35.35.3450004 E8
N049.00.07.3400004 E002.35.35.9270016 E8
N049.00.30.2900004 E002.35.48.7600008 E9
N049.00.13.9870008 E002.35.49.7159988 E10
N049.00.14.6949984 E002.35.56.9420016 E11
N049.00.15.2949996 E002.36.06.8270004 E12
N049.00.15.7849992 E002.36.16.5459996 E13
N049.00.31.0950 E002.34.51.4869996 GE1
N049.00.31.3130016 E002.34.57.1360008 GE2
N049.00.32.0760 E002.35.10.3430004 GE3
N049.00.32.5659996 E002.35.20.3110008 GE4
N049.00.33.9829992 E002.35.38.0870016 GE5
N049.00.32.0209992 E002.35.40.8279984 GE6
N049.00.23.1400008 E002.35.41.9079984 GE7
N049.00.14.7499992 E002.35.43.0710 GE8
N049.00.10.3359996 E002.35.43.4860008 GE9
N049.00.06.3590004 E002.35.43.9010016 GE10
N049.00.14.8399992 E002.35.48.6700008 JN
N049.00.13.3800012 E002.35.49.3699992 JS
N049.00.12.7000008 E002.33.20.9999988 TG1
N049.00.16.5099996 E002.33.19.3899996 TG2
N049.00.54.9500004 E002.34.46.3299996 TH1
N049.00.28.9699992 E002.35.12.4199988 TK1
N049.00.29.3519988 E002.35.17.2370004 TK2
N049.00.02.5999992 E002.35.15.4100004 TK3
N049.00.02.9270016 E002.35.21.2240004 TK4
N049.00.30.3869988 E002.35.33.6840 TL1
N049.00.28.0440 E002.35.36.9240 TL2
N049.00.22.7589984 E002.35.37.5879984 TL3
N049.00.14.5320012 E002.35.38.5850004 TL4
N049.00.10.1729988 E002.35.39.0829992 TL5
N049.00.05.8140 E002.35.39.5819988 TL6
N049.00.03.7440 E002.35.37.1730012 TL7
N049.00.36.2400012 E002.35.44.3000004 TJ1
N049.00.23.3399988 E002.35.45.9700008 TJ2
N049.00.15.0180012 E002.35.47.1419988 TJ3
N049.00.11.2870008 E002.35.47.8870008 TJ4
N049.00.09.8219988 E002.35.48.1520004 TJ5
N048.59.58.5600 E002.32.50.6000004 TM1
N048.59.53.7699984 E002.32.41.8800012 TM2
N049.00.45.8700012 E002.33.09.6800004 TQ1
N049.00.43.4199996 E002.33.13.0399992 TQ1
N049.00.59.0100012 E002.31.47.0499996 TU1
N049.00.59.2200 E002.32.05.4399984 TU1
N049.01.01.2600012 E002.32.07.5699996 TU2
N049.01.03.0799992 E002.32.11.6599992 TU3
N049.01.05.0400012 E002.32.16.4699988 TU3
N049.01.06.5700012 E002.32.26.7399996 TU4
N049.01.07.1000004 E002.32.38.5400004 TU5
N049.01.06.5399988 E002.32.40.9499988 TU6
N049.01.07.3999992 E002.32.51.8899992 TU6
N049.00.43.5200004 E002.32.56.6099988 TU7
N049.00.08.0830008 E002.36.10.3510008 P
N049.00.07.6359996 E002.36.03.3419988 P
N049.00.07.1889984 E002.35.55.9449996 P
N049.00.06.6139992 E002.35.49.5200004 P
N049.00.07.3010016 E002.33.25.8310008 P1
N049.00.02.6840016 E002.33.31.1259996 P1
N049.00.03.3779988 E002.33.45.3290004 P1
N049.00.04.3589988 E002.34.04.7039988 P1
N049.00.02.0710008 E002.34.29.1860004 P2
N049.00.03.1740012 E002.34.48.7480008 P2
N049.00.07.4239992 E002.34.59.4630012 P3
N049.00.11.6330004 E002.34.52.7970 P3
N049.00.11.8779984 E002.35.53.4739992 P4
N049.00.12.3270012 E002.36.02.6939988 P4
N049.00.12.9399984 E002.36.13.4089992 P4
N049.00.11.5099992 E002.36.13.5339984 P5
N049.00.11.0199996 E002.36.02.6319996 P5
N049.00.10.5289992 E002.35.53.6610012 P5
N049.00.03.1100004 E002.33.25.9099992 TA1
N049.00.00.5699988 E002.33.56.7100008 TA2
N049.00.01.1800008 E002.34.11.6299992 TA3
N048.59.59.5780008 E002.34.22.2870 TE1
N049.00.00.3549996 E002.34.38.5470012 TE2
N049.00.01.7030016 E002.34.59.9139984 TE3
N048.59.59.8260012 E002.33.23.8590 R
N048.59.57.5270016 E002.33.26.1960012 R
N048.59.56.0590008 E002.33.32.5230012 R
N048.59.56.1230016 E002.33.41.1860016 R
N048.59.56.6970 E002.33.51.0170004 R
N048.59.57.4640016 E002.34.04.5469992 R
N048.59.58.2299988 E002.34.18.0770016 R
N048.59.58.8680016 E002.34.31.2179988 R
N048.59.59.9539992 E002.34.49.9069992 R
N049.00.00.7840008 E002.35.06.8439984 R
N049.00.01.5500016 E002.35.18.4269984 R
N049.00.01.9969992 E002.35.29.6210004 R
N049.00.02.6349984 E002.35.38.8690008 R
N049.00.02.8270008 E002.35.44.5139988 R
N049.00.03.0819996 E002.35.50.3549988 R
N049.00.03.4650 E002.35.56.7790008 R
N049.00.03.7850004 E002.36.04.0790016 R
N049.00.04.3589988 E002.36.11.4770016 R
N049.00.04.8700008 E002.36.24.7150008 R1
N048.59.57.4379988 E002.33.22.3310016 RN1
N048.59.55.3440012 E002.33.28.5609996 RN2
N049.01.03.1699992 E002.33.00.0900 RN
N049.00.49.0600008 E002.33.02.6499996 RS
N049.00.04.3589988 E002.35.41.8470 RP10
N049.00.04.6779984 E002.35.46.9089996 RP11
N049.00.05.1249996 E002.35.53.3330016 RP12
N049.00.05.5720008 E002.35.59.4650004 RP13
N049.00.06.0189984 E002.36.07.7389992 RP14
N049.00.06.5300004 E002.36.13.7739996 RP15
N048.59.54.5269992 E002.33.36.6689988 RT1
N048.59.54.7820016 E002.33.45.6239988 RT2
N048.59.55.4210016 E002.33.57.3050016 RT3
N048.59.56.2509996 E002.34.12.2949984 RT4
N048.59.58.6770 E002.34.58.3370004 RT5
N048.59.59.6339988 E002.35.14.4949992 RT7
N049.00.00.1450008 E002.35.24.2289996 RT8
N049.00.00.7840008 E002.35.35.7150012 RT9
N049.00.01.1030004 E002.35.42.3340008 RT10
N049.00.01.2939984 E002.35.47.1030 RT11
N049.00.01.5500016 E002.35.53.8199988 RT12
N049.00.01.9329984 E002.35.59.9520012 RT13
N049.00.02.3799996 E002.36.08.1290016 RT14
N049.00.02.6349984 E002.36.14.0659992 RT15
N048.59.49.7699988 E002.33.01.2600 T
N048.59.50.0600004 E002.33.06.9900012 T
