COLOR_GrasSurface
N043.37.24.4800012 E001.22.49.7780004
N043.37.24.5399988 E001.22.49.4479992
N043.37.24.6150012 E001.22.49.1940012
N043.37.24.7919988 E001.22.48.7769988
N043.37.25.0939992 E001.22.48.2490012
N043.37.30.9990 E001.22.42.0859992
N043.37.32.7950004 E001.22.45.3479988
N043.37.33.6050004 E001.22.45.9680016
N043.37.33.8999988 E001.22.46.0859988
N043.37.34.3999992 E001.22.46.1970012
N043.37.37.4540016 E001.22.46.7450004
N043.37.37.8260004 E001.22.46.7490
N043.37.38.2000008 E001.22.46.6709988
N043.37.38.8229988 E001.22.46.4160
N043.37.42.2289984 E001.22.44.4119988
N043.37.43.1879988 E001.22.43.7660004
N043.37.46.3569996 E001.22.41.0639988
N043.37.47.5830012 E001.22.40.0850004
N043.37.48.5130 E001.22.39.1640016
N043.37.50.4879996 E001.22.36.6030012
N043.37.51.1439988 E001.22.35.8579992
N043.37.54.2820 E001.22.32.6430012
N043.38.08.6150004 E001.22.16.9399992
N043.38.28.9029984 E001.21.55.4969988
N043.38.28.9939992 E001.21.52.9440012
N043.38.34.6549992 E001.21.53.6839992
N043.38.39.1110 E001.21.55.1660004
N043.38.41.0470008 E001.21.58.9290012
N043.38.45.5769996 E001.22.00.3569988
N043.38.47.6090016 E001.22.00.5689992
N043.38.59.6670 E001.21.54.8430012
N043.39.01.7049996 E001.21.54.1140012
N043.39.03.7249992 E001.21.53.6169996
N043.39.05.4299988 E001.21.53.2879992
N043.39.07.8289992 E001.21.53.0309988
N043.39.09.4079988 E001.21.52.8289992
N043.39.11.1189996 E001.21.52.3019988
N043.39.13.5200016 E001.21.51.6510
N043.39.15.0930 E001.21.51.3879984
N043.39.16.6110012 E001.21.51.2939988
N043.39.20.1380004 E001.21.50.8650012
N043.39.22.2590016 E001.21.50.3430012
N043.39.23.3229996 E001.21.50.1729984
N043.39.24.5160 E001.21.49.6479996
N043.39.25.5290004 E001.21.49.0309992
N043.39.34.9920 E001.21.42.1700004
N043.39.42.7150008 E001.21.36.7740
N043.39.41.0000004 E001.21.32.2509996
N043.39.39.9200004 E001.21.28.1760012
N043.39.40.2549984 E001.21.27.1540008
N043.39.40.6170 E001.21.26.3059992
N043.39.40.9629996 E001.21.25.5480012
N043.39.40.8780 E001.21.24.4209996
N043.39.39.6200016 E001.21.21.9449988
N043.39.39.3469992 E001.21.21.5899992
N043.39.39.1550004 E001.21.20.8320012
N043.39.39.3819984 E001.21.20.6579988
N043.39.38.8630008 E001.21.18.9910008
N043.39.38.3259996 E001.21.16.7850
N043.39.38.1359988 E001.21.15.8670
N043.39.37.9460016 E001.21.14.6379996
N043.39.37.6719984 E001.21.12.2720004
N043.39.37.3060008 E001.21.07.7079996
N043.39.36.9540 E001.21.03.6860004
N043.39.36.0920016 E001.21.03.8130012
N043.39.36.0360 E001.21.03.2680008
N043.39.35.4020004 E001.21.03.3649992
N043.39.34.8199992 E001.20.54.5250012
N043.39.35.9910 E001.20.54.3570
N043.39.35.9380008 E001.20.53.5279992
N043.39.35.6349996 E001.20.53.2179996
N043.39.35.4330 E001.20.53.0829996
N043.39.35.1950004 E001.20.52.9879992
N043.39.34.9509996 E001.20.53.0210004
N043.39.32.8250016 E001.20.53.3839992
N043.39.32.5980 E001.20.53.5350012
N043.39.32.1069996 E001.20.54.3080004
N043.39.31.5720 E001.20.54.3869988
N043.39.30.8949984 E001.20.54.1290012
N043.39.30.2640012 E001.20.54.2180004
N043.39.30.2519988 E001.20.53.9769984
N043.39.30.1939992 E001.20.53.8119996
N043.39.29.9959992 E001.20.53.6089992
N043.39.29.8900008 E001.20.53.5509996
N043.39.25.0279992 E001.20.54.2220
N043.39.24.9620004 E001.20.53.3590008
N043.39.23.3589996 E001.20.54.1119984
N043.39.23.0659992 E001.20.54.2040
N043.39.22.8170016 E001.20.54.2119992
N043.39.22.4870004 E001.20.54.2090004
N043.39.21.2199984 E001.20.53.8900008
N043.39.20.7839988 E001.20.54.0039984
N043.39.20.6039988 E001.20.53.4459984
N043.39.05.4720 E001.20.55.4930016
N043.39.05.3359992 E001.20.53.5899984
N043.39.00.9860004 E001.20.54.2109984
N043.38.59.8359984 E001.20.57.3439992
N043.38.59.2530 E001.20.57.3299988
N043.38.58.8800004 E001.20.58.4909988
N043.38.58.7360004 E001.20.58.5319992
N043.38.58.5750012 E001.20.58.5420
N043.38.58.3550016 E001.20.58.5049992
N043.38.57.7700016 E001.20.58.3540008
N043.38.56.4330012 E001.20.57.8870016
N043.38.54.0300012 E001.20.56.5010016
N043.38.53.1369996 E001.20.59.1299988
N043.38.52.0419984 E001.20.58.7370012
N043.38.49.5229992 E001.20.57.4130004
N043.38.49.0290 E001.20.56.6689992
N043.38.47.9950008 E001.20.55.5810
N043.38.47.3529984 E001.20.54.5089992
N043.38.46.8620016 E001.20.53.5279992
N043.38.48.9580008 E001.20.49.5840012
N043.38.49.3500012 E001.20.48.9249996
N043.38.49.7739984 E001.20.48.3039996
N043.38.50.7400008 E001.20.46.8589992
N043.38.51.1000008 E001.20.46.3099992
N043.38.51.3660012 E001.20.45.8030004
N043.38.51.6429996 E001.20.45.0909996
N043.38.52.0190016 E001.20.44.1080016
N043.38.52.6170012 E001.20.42.7239996
N043.38.53.2600008 E001.20.41.3530008
N043.38.53.6820 E001.20.40.5430008
N043.38.54.1629996 E001.20.39.6740004
N043.38.54.5550 E001.20.39.0090012
N043.38.55.0100004 E001.20.38.2639992
N043.38.55.4420004 E001.20.37.6040004
N043.38.55.8120012 E001.20.37.1159988
N043.38.56.0969988 E001.20.36.7100016
N043.38.56.3790012 E001.20.36.2940
N043.38.56.6970 E001.20.35.7240012
N043.38.56.9900004 E001.20.35.2209984
N043.38.58.6250016 E001.20.32.4219984
N043.39.00.1879992 E001.20.29.7080016
N043.39.00.5730012 E001.20.29.0169996
N043.39.00.8280 E001.20.28.5380016
N043.39.01.1189988 E001.20.28.0200012
N043.39.01.4180004 E001.20.27.3840
N043.39.02.5350012 E001.20.24.8690004
N043.39.02.2770 E001.20.22.9989984
N043.39.01.5549984 E001.20.22.2290016


COLOR_HardSurface4
N043.37.29.6379984 E001.22.33.1470012
N043.37.27.6250008 E001.22.34.8740004
N043.37.29.9190 E001.22.38.8380
N043.37.30.6360012 E001.22.38.1470016
N043.37.29.5330008 E001.22.35.9299992
N043.37.29.0880012 E001.22.35.0990004
N043.37.29.8949988 E001.22.34.2270012
N043.37.30.0659988 E001.22.34.1429988
N043.37.33.8329992 E001.22.30.0950004
N043.37.33.5280 E001.22.29.5290012
N043.37.29.6379984 E001.22.33.1470012


COLOR_HardSurface4
N043.37.34.2639984 E001.22.35.7999996
N043.37.34.2350004 E001.22.36.0500016
N043.37.34.2310008 E001.22.36.1359984
N043.37.34.2360012 E001.22.36.3029988
N043.37.34.2490008 E001.22.36.4479996
N043.37.34.2699996 E001.22.36.6160008
N043.37.34.3049988 E001.22.36.7539996
N043.37.34.3629984 E001.22.36.9279984
N043.37.34.4610012 E001.22.37.1759988
N043.37.34.5810 E001.22.37.3500012
N043.37.34.7199996 E001.22.37.5039984
N043.37.35.0159988 E001.22.37.7169996
N043.37.37.0419996 E001.22.39.0579996
N043.37.38.9570016 E001.22.40.3420008
N043.37.39.0870012 E001.22.40.4100012
N043.37.39.2540016 E001.22.40.4590008
N043.37.39.4110012 E001.22.40.4929992
N043.37.39.5580 E001.22.40.4950008
N043.37.39.6999984 E001.22.40.4879988
N043.37.39.8020008 E001.22.40.4670
N043.37.39.8939988 E001.22.40.4140008
N043.37.40.0019988 E001.22.40.3219992
N043.37.45.2290008 E001.22.34.8049992
N043.37.46.9530012 E001.22.32.9120004
N043.37.46.3820016 E001.22.29.7570
N043.37.48.6559992 E001.22.24.6140004
N043.37.59.6539992 E001.22.13.6210008
N043.37.59.0490012 E001.22.12.5929992
N043.37.58.5549984 E001.22.11.2540008
N043.37.56.5240008 E001.22.11.1630
N043.37.54.4910016 E001.22.12.4680
N043.37.53.7470004 E001.22.14.9880
N043.37.53.8650012 E001.22.17.2899984
N043.37.47.2360008 E001.22.24.3890004
N043.37.45.6909996 E001.22.26.4299988
N043.37.44.5090008 E001.22.27.3640008
N043.37.44.6810016 E001.22.29.9719992
N043.37.45.4360008 E001.22.31.1999988
N043.37.44.6919996 E001.22.33.0890016
N043.37.38.6829984 E001.22.39.1749996
N043.37.37.2550008 E001.22.38.2850004
N043.37.35.4889992 E001.22.36.8739984
N043.37.34.8390012 E001.22.36.2480016
N043.37.34.9820004 E001.22.34.2329988
N043.37.34.5349992 E001.22.33.8450016
N043.37.34.2639984 E001.22.35.7999996


COLOR_HardSurface4
N043.39.11.4120 E001.21.16.3829988
N043.39.11.6619984 E001.21.16.3640016
N043.39.11.8180008 E001.21.18.1900008
N043.39.11.2100004 E001.21.18.3089988
N043.39.11.3330016 E001.21.19.7060004
N043.39.10.0569996 E001.21.19.8889992
N043.39.09.8430012 E001.21.18.4780008
N043.39.08.1330012 E001.21.18.7279992
N043.39.08.1900 E001.21.20.1420
N043.39.06.8780016 E001.21.20.3580
N043.39.06.7420008 E001.21.18.9039996
N043.39.05.0609988 E001.21.19.1540016
N043.39.05.1289992 E001.21.20.5120008
N043.39.03.9300012 E001.21.20.6859996
N043.39.03.7100016 E001.21.19.3100004
N043.39.01.8910008 E001.21.19.5279984
N043.39.01.9630008 E001.21.20.9790
N043.39.00.7340004 E001.21.21.1439988
N043.39.00.6130008 E001.21.19.7380008
N043.38.58.8750 E001.21.19.9829988
N043.38.58.9840008 E001.21.21.3440004
N043.38.57.6909996 E001.21.21.6010008
N043.38.55.8719988 E001.21.21.8469996
N043.38.55.8539988 E001.21.21.6010008
N043.38.53.6920008 E001.21.21.8720016
N043.38.53.8260 E001.21.23.6570004
N043.38.55.9100004 E001.21.23.4519984
N043.38.56.0040 E001.21.24.6300012
N043.38.57.8889996 E001.21.24.3500004
N043.38.57.8919984 E001.21.23.1419988
N043.38.59.4830004 E001.21.22.9410
N043.38.59.5539996 E001.21.24.0540012
N043.39.00.9270 E001.21.23.8749984
N043.39.00.8200008 E001.21.22.4730
N043.39.02.0720016 E001.21.22.3179984
N043.39.02.2070016 E001.21.23.7170016
N043.39.03.9669984 E001.21.23.4119988
N043.39.03.9920004 E001.21.22.0330008
N043.39.05.2760016 E001.21.21.8409984
N043.39.05.3870004 E001.21.23.2149996
N043.39.07.0629984 E001.21.22.9749984
N043.39.06.9779988 E001.21.21.5840016
N043.39.08.2379988 E001.21.21.3800004
N043.39.08.4129984 E001.21.22.8629988
N043.39.10.1379996 E001.21.22.5690012
N043.39.10.1450016 E001.21.21.2929992
N043.39.11.4159996 E001.21.21.1190004
N043.39.11.4869988 E001.21.22.3729992
N043.39.12.1079988 E001.21.22.2760008
N043.39.12.2289984 E001.21.24.1130016
N043.39.11.9670012 E001.21.24.1980012
N043.39.12.0039984 E001.21.24.4929996
N043.39.12.5269992 E001.21.24.4220004
N043.39.11.9139984 E001.21.16.0239996
N043.39.11.3910012 E001.21.16.0999992
N043.39.11.4120 E001.21.16.3829988


COLOR_HardSurface4
N043.39.05.3070012 E001.21.17.1939996
N043.39.09.3769992 E001.21.16.6500
N043.39.09.3579984 E001.21.16.3879992
N043.39.05.2310016 E001.21.16.9419996
N043.39.05.3070012 E001.21.17.1939996


COLOR_HardSurface4
N043.39.09.9299988 E001.21.24.5139984
N043.39.05.8280004 E001.21.25.0689996
N043.39.05.8449996 E001.21.25.3370016
N043.39.09.9470016 E001.21.24.7659984
N043.39.09.9299988 E001.21.24.5139984


COLOR_HardSurface4
N043.38.02.7110004 E001.20.53.9810016
N043.38.02.1080004 E001.20.56.1630012
N043.38.00.7199988 E001.20.56.2499988
N043.37.58.1409984 E001.20.58.7889996
N043.37.57.8070012 E001.20.59.9610012
N043.37.56.9560008 E001.21.00.0200016
N043.37.56.7670008 E001.21.01.0080
N043.37.55.9179984 E001.21.00.9519984
N043.37.55.3959984 E001.21.02.9559996
N043.37.53.7420 E001.21.03.2349996
N043.37.53.3460 E001.21.05.0929992
N043.37.51.8700 E001.21.05.1980004
N043.37.51.3860016 E001.21.06.9900012
N043.37.50.2650012 E001.21.07.1210016
N043.37.49.8749988 E001.21.07.5489984
N043.37.49.6729992 E001.21.09.3690
N043.37.48.3480012 E001.21.09.1460016
N043.37.48.1519992 E001.21.09.3269988
N043.37.47.8110 E001.21.08.6429988
N043.37.48.2750004 E001.21.07.9899984
N043.37.47.9629992 E001.21.07.1700012
N043.37.47.7630012 E001.21.06.7870008
N043.37.47.4780 E001.21.06.6480012
N043.37.47.0600004 E001.21.06.7510008
N043.37.46.7699988 E001.21.07.0350012
N043.37.46.6380012 E001.21.07.5279996
N043.37.46.7090004 E001.21.14.3989992
N043.37.46.7780016 E001.21.15.2780004
N043.37.47.0480016 E001.21.16.1510004
N043.37.47.4660012 E001.21.16.7019984
N043.37.48.1879992 E001.21.17.0920008
N043.37.49.1260008 E001.21.16.9539984
N043.37.49.5860016 E001.21.16.5719988
N043.37.49.6570008 E001.21.15.5480004
N043.37.48.6440004 E001.21.13.6029996
N043.37.50.0949984 E001.21.12.2349996
N043.37.50.4900012 E001.21.10.8299988
N043.37.52.0039992 E001.21.10.8720
N043.37.52.6379988 E001.21.09.2070
N043.37.53.6769984 E001.21.08.9330004
N043.37.54.0030 E001.21.08.5820004
N043.37.54.4550016 E001.21.07.1600004
N043.37.55.8559992 E001.21.06.9140016
N043.37.56.0610012 E001.21.05.6300004
N043.37.57.1280016 E001.21.04.6080
N043.37.57.9370008 E001.21.04.5650016
N043.37.58.1070 E001.21.03.4509996
N043.37.58.8299988 E001.21.02.6960004
N043.37.59.7870012 E001.21.02.5110
N043.38.00.2339988 E001.21.02.0040012
N043.38.00.0740004 E001.21.01.6229988
N043.38.00.0330 E001.20.59.9210016
N043.38.00.8059992 E001.20.59.3030004
N043.38.01.8790008 E001.20.59.5070016
N043.38.02.3219988 E001.20.59.8120008
N043.38.02.5739988 E001.20.59.5970016
N043.38.02.8250016 E001.20.58.3109988
N043.38.03.4959984 E001.20.57.7190004
N043.38.04.3770012 E001.20.57.7039992
N043.38.04.9070004 E001.20.57.1210008
N043.38.05.1730008 E001.20.55.8350016
N043.38.05.8030008 E001.20.55.3059996
